Altium Designer Pick and Place Locations
D:\trail projects\ESP32 WITH USB C\Project Outputs for ESP32 WITH USB C\Pick Place\Pick Place for ESP32 WITH USB C PCB V111(Prototype).csv

========================================================================================================================
File Design Information:

Date:       11/07/25
Time:       09:30
Revision:   Not in VersionControl
Variant:    Prototype
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"U3","TL1963A-33DCYR","TopLayer","DCY0004A_N","735.000","320.000","0","IC REG LIN 3.3V 1.5A SOT-223-4"
"U2","FT231XQ-R","TopLayer","FP-QFN-20-IPC_B","825.000","805.000","270","IC USB SERIAL FULL UART 20QFN"
"U1","ESP32-S3-MINI-1-N8","TopLayer","XCVR_ESP32-S3-MINI-1-N8","2410.039","550.000","270","SMD module, ESP32-S3FN8, 8 MB SPI flash, PCB antenna"
"SW2","PTS645SH50SMTR92 LFS","TopLayer","FP-PTS645SH50SMTR92LFS-MFG","1553.000","760.000","180","SWITCH TACTILE SPST-NO 0.05A 12V"
"SW1","PTS645SH50SMTR92 LFS","TopLayer","FP-PTS645SH50SMTR92LFS-MFG","1568.000","331.000","180","SWITCH TACTILE SPST-NO 0.05A 12V"
"R26","10K","TopLayer","RESC1005X40N","1117.000","654.071","90","RES SMD 10K OHM 1% 1/16W 0402"
"R23","10K","TopLayer","RESC1005X40N","1118.000","869.000","270","RES SMD 10K OHM 1% 1/16W 0402"
"R22","0R","TopLayer","RESC1005X40N","2029.071","491.000","180","RES 0 OHM JUMPER 1/16W 0402"
"R21","0R","TopLayer","RESC1005X40N","2023.071","560.000","180","RES 0 OHM JUMPER 1/16W 0402"
"R20","10K","TopLayer","RESC1005X40N","1825.000","370.000","90","RES SMD 10K OHM 1% 1/16W 0402"
"R19","27R","TopLayer","RESC1005X40N","2016.000","871.000","180","RES 27 OHM 1% 1/16W 0402"
"R18","0R","TopLayer","RESC1005X40N","2125.000","153.000","180","RES 0 OHM JUMPER 1/16W 0402"
"R17","27R","TopLayer","RESC1005X40N","2392.000","938.000","0","RES 27 OHM 1% 1/16W 0402"
"R16","0R","TopLayer","RESC1005X40N","2028.000","152.000","180","RES 0 OHM JUMPER 1/16W 0402"
"R15","5.1 K","TopLayer","RESC1005X40N","416.000","348.000","90","RES 5.1K OHM 1% 1/16W 0402"
"R14","5.1 K","TopLayer","RESC1005X40N","410.000","191.929","270","RES 5.1K OHM 1% 1/16W 0402"
"R13","10K","TopLayer","RESC1005X40N","970.000","655.000","180","RES SMD 10K OHM 1% 1/16W 0402"
"R12","1kR","TopLayer","RESC1005X40N","1919.000","889.000","270","RES 1K OHM 1% 1/16W 0402"
"R11","1kR","TopLayer","RESC1005X40N","1957.000","221.929","90","RES 1K OHM 1% 1/16W 0402"
"R10","5.1 K","TopLayer","RESC1005X40N","446.000","779.000","90","RES 5.1K OHM 1% 1/16W 0402"
"R9","5.1 K","TopLayer","RESC1005X40N","445.000","891.000","270","RES 5.1K OHM 1% 1/16W 0402"
"R8","4K7R","TopLayer","RESC1005X40N","970.000","705.000","0","RES 4.7K OHM 1% 1/16W 0402"
"R6","0R","TopLayer","RESC1005X40N","660.000","615.000","90","RES 0 OHM JUMPER 1/16W 0402"
"R5","27R","TopLayer","RESC1005X40N","601.071","821.000","180","RES 27 OHM 1% 1/16W 0402"
"R4","27R","TopLayer","RESC1005X40N","601.071","767.000","180","RES 27 OHM 1% 1/16W 0402"
"R1","0R","TopLayer","RESC1005X40N","789.213","520.000","0","RES 0 OHM JUMPER 1/16W 0402"
"Q2","SS8050-G","TopLayer","FP-SS8050-G-IPC_B","1240.577","676.000","0","TRANS NPN 25V 1.5A SOT-23-3"
"Q1","SS8050-G","TopLayer","FP-SS8050-G-IPC_B","1242.423","857.402","0","TRANS NPN 25V 1.5A SOT-23-3"
"ss","FTS-102-01-F-S","TopLayer","HDR_1x2_1.27MM","1475.000","550.000","90","CONN HEADER VERT 2POS 1.27MM"
"J5","FTS-103-01-F-S","TopLayer","HDR_1x3_1.27MM","350.000","560.000","0","CONN HEADER VERT 3POS 1.27MM"
"J4","900-2171790001CT-ND","TopLayer","FP-2171790001-MFG","145.783","291.000","270","CONN RCP USB2.0 TYP C 24P SMD RA"
"J3","900-2171790001CT-ND","TopLayer","FP-2171790001-MFG","145.059","839.921","270","CONN RCP USB2.0 TYP C 24P SMD RA"
"J2","0022284245","BottomLayer","HDR_1x24_2.5MM","1487.000","56.000","90","CONN HEADER VERT 24POS 2.54MM"
"S","0022284245","BottomLayer","HDR_1x24_2.5MM","1499.000","1040.000","90","CONN HEADER VERT 24POS 2.54MM"
"D8","AQ3045-01ETG","TopLayer","SOD882","340.000","415.000","180","TVS DIODE 5.3VWM 12VC SOD882"
"D7","AQ3045-01ETG","TopLayer","SOD882","325.000","237.205","90","TVS DIODE 5.3VWM 12VC SOD882"
"D6","AQ3045-01ETG","TopLayer","SOD882","325.000","312.795","270","TVS DIODE 5.3VWM 12VC SOD882"
"D5","RED","TopLayer","LED0402R","1857.000","887.701","270","LED RED 0402 SMD"
"D4","Green","TopLayer","LED0402G","1892.000","232.701","90","LED YLW-GRN 0402 SMD"
"D3","AQ3045-01ETG","TopLayer","SOD882","344.000","692.000","270","TVS DIODE 5.3VWM 12VC SOD882"
"D2","AQ3045-01ETG","TopLayer","SOD882","341.000","785.000","90","TVS DIODE 5.3VWM 12VC SOD882"
" ","AQ3045-01ETG","TopLayer","SOD882","344.000","883.000","270","TVS DIODE 5.3VWM 12VC SOD882"
"C16","1uf, 35V","TopLayer","CAPC1005X70N","1821.000","262.677","90","CAP CER 1UF 35V X5R 0402"
"C15","100nf, 50V","TopLayer","CAPC1005X70N","2495.000","940.000","0","CAP CER 0.1UF 50V X7R 0402"
"C14","10uf, 10V","TopLayer","CAPC1005X70N","2010.000","945.000","180","CAP CER 10UF 10V X5R 0402"
"C13","100nf, 50V","TopLayer","CAPC1005X70N","533.000","948.000","0","CAP CER 0.1UF 50V X7R 0402"
"C12","10uf, 10V","TopLayer","CAPC1005X70N","2619.000","143.000","0","CAP CER 10UF 10V X5R 0402"
"C11","10uf, 10V","TopLayer","CAPC1005X70N","2610.000","938.000","180","CAP CER 10UF 10V X5R 0402"
"C10","100nf, 50V","TopLayer","CAPC1005X70N","440.000","460.000","180","CAP CER 0.1UF 50V X7R 0402"
"C9","4.7uf, 16v","TopLayer","CAPC1005X70N","530.000","390.000","90","4.7 µF ±20% 16V Ceramic Capacitor X5R 0402 (1005 Metric)"
"C8","10uf, 10V","TopLayer","CAPC1005X70N","479.000","239.323","270","CAP CER 10UF 10V X5R 0402"
"C7","10uf, 10V","TopLayer","CAPC1005X70N","535.000","240.000","270","CAP CER 10UF 10V X5R 0402"
"C6","100nf, 50V","TopLayer","CAPC1005X70N","1012.677","780.000","180","CAP CER 0.1UF 50V X7R 0402"
"C4","100nf, 50V","TopLayer","CAPC1005X70N","595.000","700.000","0","CAP CER 0.1UF 50V X7R 0402"
"C3","100nf, 50V","TopLayer","CAPC1005X70N","818.000","579.000","180","CAP CER 0.1UF 50V X7R 0402"
"C2","4.7uf, 16v","TopLayer","CAPC1005X70N","815.000","648.000","180","4.7 µF ±20% 16V Ceramic Capacitor X5R 0402 (1005 Metric)"
"C1","100nf, 50V","TopLayer","CAPC1005X70N","447.000","684.000","90","CAP CER 0.1UF 50V X7R 0402"
